,,Total flooded
Time,Seconds,volume (m3)
06/01/2010 00:00,0,49808.19372
06/01/2010 01:00,3600,50388.62414
06/01/2010 02:00,7200,50938.57857
06/01/2010 03:00,10800,51456.764
06/01/2010 04:00,14400,51945.0758
06/01/2010 05:00,18000,52405.46288
06/01/2010 06:00,21600,52840.08047
06/01/2010 07:00,25200,53251.67338
06/01/2010 08:00,28800,53701.17872
06/01/2010 09:00,32400,55593.49608
06/01/2010 10:00,36000,59941.44957
06/01/2010 11:00,39600,62729.1342
06/01/2010 12:00,43200,62120.10445
06/01/2010 13:00,46800,60907.47276
06/01/2010 14:00,50400,59896.39635
06/01/2010 15:00,54000,59198.00841
06/01/2010 16:00,57600,58798.05655
06/01/2010 17:00,61200,58784.43672
06/01/2010 18:00,64800,59217.93801
06/01/2010 19:00,68400,60065.60542
06/01/2010 20:00,72000,61448.67985
06/01/2010 21:00,75600,65018.86767
06/01/2010 22:00,79200,71681.18476
06/01/2010 23:00,82800,77641.06688
06/02/2010 00:00,86400,77675.37181
06/02/2010 01:00,90000,76092.41013
06/02/2010 02:00,93600,74565.36483
06/02/2010 03:00,97200,73512.2696
06/02/2010 04:00,100800,72897.07107
06/02/2010 05:00,104400,72598.43972
06/02/2010 06:00,108000,72506.44835
06/02/2010 07:00,111600,72556.22577
06/02/2010 08:00,115200,72780.98964
06/02/2010 09:00,118800,73466.80531
06/02/2010 10:00,122400,75920.78864
06/02/2010 11:00,126000,79671.5842
06/02/2010 12:00,129600,80370.34626
06/02/2010 13:00,133200,79590.82302
06/02/2010 14:00,136800,78684.67781
06/02/2010 15:00,140400,78008.09549
06/02/2010 16:00,144000,77582.34672
06/02/2010 17:00,147600,77359.18107
06/02/2010 18:00,151200,77290.41254
06/02/2010 19:00,154800,77360.03969
06/02/2010 20:00,158400,77694.59568
06/02/2010 21:00,162000,78689.62632
06/02/2010 22:00,165600,82514.83878
06/02/2010 23:00,169200,88171.86082
06/03/2010 00:00,172800,90450.75416
06/03/2010 01:00,176400,89214.47387
06/03/2010 02:00,180000,87300.26785
06/03/2010 03:00,183600,85589.82158
06/03/2010 04:00,187200,84355.29092
06/03/2010 05:00,190800,83543.26656
06/03/2010 06:00,194400,83051.93723
06/03/2010 07:00,198000,82798.27739
06/03/2010 08:00,201600,82738.89866
06/03/2010 09:00,205200,82920.98508
06/03/2010 10:00,208800,83745.89143
